basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
monomial_orthonormalized,12,1.0000002897618208,8785065.990498023,1.0000002889951947,8785065.913875062,365.2186741428295,True,8785065.854538865,12.362363368663962,3.522629091374785e-17,12.362363368326193,cholesky,2.7322358506856588e-11
shifted_legendre,12,890806.6729890407,60049.83401893906,2844700.9888241454,292.2517145747644,332.20913907940997,True,8785065.98052611,12.362363368011165,1.0367744231241916e-13,12.36236336832619,cholesky,2.5482542583798165e-11
integrated_legendre,12,449931609.61771995,349.85535867134473,141133.69752986246,94144.90246396251,13.928203230275505,True,8785065.980909606,12.362363368473954,8.711153667601776e-13,12.362363368326195,cholesky,1.1952337417675995e-11
chebyshev,12,1518996.9829229147,144128.45386185206,1279130.7087617232,115.68851201288004,114.7203715730647,True,8785065.98070051,12.362363368767303,7.881779488690327e-14,12.362363368326191,cholesky,3.568185327066247e-11
bspline_p3,11,25.858579502503698,47573.34238582824,19.16221464900082,75425.29332861557,32348.76190417173,True,623754.6094266992,12.362384761492512,9.682824122423269e-16,12.362384761806531,cholesky,2.540116968117809e-11
monomial_raw,16,2.7511355746405942e+17,1.4958322174089418e+17,9.618417286926515e+16,2.681845156254035e+17,4.0268310042848186e+17,False,nan,nan,nan,-20429.74811114863,general_pencil,nan
monomial_orthonormalized,16,1.0002998620809607,68101819.78704728,1.0002990649453951,68101349.32299982,1129.3618456384577,True,68100257.88587141,12.36236336907224,1.641634027966254e-17,12.362363368326193,cholesky,6.03482325896237e-11
shifted_legendre,16,4175067.6673904182,334834.86642310163,14914989.857911069,860.1430549900258,1090.5087729877243,True,68101455.55449189,12.362363368821278,5.5366771626825394e-14,12.36236336832619,cholesky,4.0048039356108704e-11
integrated_legendre,16,4548248526.865768,471.54417907876575,678628.2278380845,316128.6724842558,13.928203230275543,True,68101455.55413005,12.362363365802869,1.483694601710227e-11,12.362363368326218,cholesky,2.0411539169064638e-10
chebyshev,16,7490885.98104461,844826.6289593189,6056509.187103198,253.19328323789728,282.88835542626094,True,68101455.55288199,12.36236336822283,6.644021819534966e-15,12.362363368326193,cholesky,8.361075361677919e-12
bspline_p3,15,26.357215586150865,164307.53203262715,19.403944906345657,288582.1236377511,96098.62014869174,True,2396209.517066909,12.362368916415269,1.8497296254640372e-16,12.36236891624275,cholesky,1.3955236040228578e-11
monomial_raw,20,1.0197122151116034e+19,2.907709737367886e+18,2.0064820054246662e+17,5.802437513021917e+17,2.7843859214695187e+17,False,nan,nan,nan,-9136.95851703978,general_pencil,nan
monomial_orthonormalized,20,1.3093421018859333,345148629.2422416,1.3093428303219914,345066576.546854,2807.053462807181,True,344150958.8398647,12.362363358035582,2.732215143305438e-17,12.362363367614233,cholesky,7.748235896825413e-10
shifted_legendre,20,14205572.065242222,1327008.4295688593,54312681.44875054,2020.4090719116168,2769.320978525392,True,345597068.21712875,12.362363373593213,2.581034593952492e-13,12.362363368326191,cholesky,4.260530302235916e-10
integrated_legendre,20,28390076068.74044,593.2329994861896,2337161.501379284,798072.2719463016,13.92820323027554,True,345597068.32615644,12.362363361318819,4.127672376724151e-11,12.362363368326188,cholesky,5.66830847676434e-10
chebyshev,20,26360575.07212251,3458416.1356106214,20703070.451887827,469.28451286171867,571.5715506496941,True,345597068.1993124,12.362363365662848,6.482984315654308e-14,12.36236336832619,cholesky,2.1543951329954343e-10
bspline_p3,19,26.55451318520213,420364.08276607515,19.474841158604864,787922.2390582004,218276.7286050248,True,6547911.097836363,12.36236539516848,2.616870578722679e-16,12.36236539564614,cholesky,3.863828340861965e-11
monomial_raw,24,2.0596507088026327e+20,7.235883855668431e+17,5.175982622477426e+18,4.5056579918672806e+17,8.050259487302964e+17,False,nan,nan,nan,-176239.21083972472,general_pencil,nan
monomial_orthonormalized,24,112.0010307818437,870654503.3510435,110.58683875004013,952095440.5306165,4211655.272627647,True,882781025.8922429,12.362348394701067,1.6350894971067182e-17,12.36234840146184,cholesky,5.468842209422435e-10
shifted_legendre,24,39204002.086567484,4188471.165772088,156855481.29005462,4092.7512479635216,5945.019956918941,True,1329520296.4491436,12.362363382240282,3.304176121210862e-13,12.362363368326188,cholesky,1.1255206104768354e-09
integrated_legendre,24,129508460241.66048,714.9218198935583,6491745.034930815,1690313.9154671663,13.928203230275606,True,1329520295.3293352,12.362363377267078,5.23473170349747e-11,12.362363368326193,cholesky,7.232343120015807e-10
chebyshev,24,74514841.91477548,11166805.185192987,57304596.183590785,781.4365448902784,1015.6169384099315,True,1329520296.6681478,12.362363401357209,3.965397292513313e-13,12.362363368326188,cholesky,2.6719018434768847e-09
bspline_p3,23,26.652376296618367,896902.7615513635,19.49846464436108,1758301.7741130923,422843.7807582343,True,14611793.17661404,12.362364275045222,5.684931418243317e-16,12.362364276070648,cholesky,8.294747118271102e-11
